"dataset","model","method","seed","batch_size","latency_ms_median","latency_ms_mean","latency_ms_std","latency_ci_lo","latency_ci_hi","throughput_per_sec","aif360_version","sklearn_version","notes"
"adult","rf","baseline","123","128","6.171800079755485","6.391241014935076","0.7453052079186372","6.020300090312958","6.370300077833235","20739.492262534714","0.6.1","1.5.2","multi_batch"
"adult","rf","baseline","123","256","9.255899931304157","9.971384995151311","3.3849489635672017","9.008700028061867","9.527100017294288","27658.034540130295","0.6.1","1.5.2","multi_batch"
"adult","rf","baseline","123","1024","22.02454989310354","24.27752699237317","6.878598054123306","21.44940011203289","22.815000033006072","46493.57217150853","0.6.1","1.5.2","multi_batch"
"adult","rf","reweighing","123","1","2.057350007817149","2.415301001165062","0.8175193136726503","1.963599817827344","2.2280500270426273","486.0621655043525","0.6.1","1.5.2","multi_batch"
"adult","rf","reweighing","123","32","3.3229499822482467","3.4766100044362247","0.6645994888438272","3.1973513774573803","3.3938001142814755","9629.997493476983","0.6.1","1.5.2","multi_batch"
"adult","rf","reweighing","123","128","8.872600039467216","11.145350995939225","9.669652066885392","7.814949960447848","10.951150092296302","14426.436380613206","0.6.1","1.5.2","multi_batch"
"adult","rf","reweighing","123","256","10.262749972753227","11.097760992124677","2.461096953638353","9.320199955254793","12.502600089646876","24944.58119701438","0.6.1","1.5.2","multi_batch"
"adult","rf","reweighing","123","1024","28.596049989573658","27.837705011479557","5.287812974000874","25.721600046381354","29.223402545903806","35809.14148539251","0.6.1","1.5.2","multi_batch"
"adult","rf","dir","123","1","4.297749954275787","4.568601006176323","1.237291508635877","3.7440500454977155","4.785099998116493","232.67989311595719","0.6.1","1.5.2","multi_batch"
"adult","rf","dir","123","32","8.77259997650981","9.248600995633751","2.179906763369957","8.27039999421686","9.886000072583556","3647.7213238590234","0.6.1","1.5.2","multi_batch"
"adult","rf","dir","123","128","13.123249867931008","12.852620005141944","2.410241697062545","12.522849952802062","13.70909996330738","9753.681541398579","0.6.1","1.5.2","multi_batch"
"adult","rf","dir","123","256","15.166400000452995","16.578699003439397","4.362393782629913","14.173443758045323","16.770267693209444","16879.41765958657","0.6.1","1.5.2","multi_batch"
"adult","rf","dir","123","1024","28.978549991734326","31.994242002256215","7.47918999212771","28.6089499713853","30.29310004785657","35336.48164908458","0.6.1","1.5.2","multi_batch"
"adult","rf","eqodds","123","1","2.3569000186398625","2.720912015065551","1.0848563676155174","2.2748999763280153","2.4764500558376312","424.28613521632855","0.6.1","1.5.2","multi_batch"
"adult","rf","eqodds","123","32","3.8478999631479383","4.2458859900943935","1.417176003345649","3.743399982340634","4.054900025948882","8316.22451375296","0.6.1","1.5.2","multi_batch"
"adult","rf","eqodds","123","128","6.6130999475717545","7.064959001727402","1.44593265866926","6.482500000856817","6.921800086274743","19355.521769635427","0.6.1","1.5.2","multi_batch"
"adult","rf","eqodds","123","256","9.373299893923104","10.391006004065275","2.8830710865801357","9.188949945382774","9.609899949282408","27311.61948269359","0.6.1","1.5.2","multi_batch"
"adult","rf","eqodds","123","1024","23.84555002208799","26.287376002874225","7.05779871744807","22.619692503940314","24.705300107598305","42943.02287225394","0.6.1","1.5.2","multi_batch"
"adult","lr","baseline","256","1","0.09839993435889482","0.11036800453439355","0.024907883633714777","0.09524996858090162","0.10595005005598068","10162.608405333813","0.6.1","1.5.2","multi_batch"
"adult","lr","baseline","256","32","0.1569000305607915","0.14647100353613496","0.0356118847671557","0.1501000951975584","0.1618013164261356","203951.52177871298","0.6.1","1.5.2","multi_batch"
"adult","lr","baseline","256","128","0.18725008703768253","0.1953310053795576","0.032871665872017036","0.1835001166909933","0.19029993563890457","683577.786397723","0.6.1","1.5.2","multi_batch"
"adult","lr","baseline","256","256","0.2080998383462429","0.21510699996724725","0.03301187044608492","0.204250100068748","0.213349936529994","1230178.754747802","0.6.1","1.5.2","multi_batch"
"adult","lr","baseline","256","1024","0.34419994335621595","0.36842501256614923","0.07895524173094515","0.34120003692805767","0.3483499167487025","2975015.016025881","0.6.1","1.5.2","multi_batch"
